_id,SIRUTA,JUDET,UAT,TIP_PROPRIETATE,NUMAR_IMOBILE_TEREN,SUPRAFATA_CADASTRATA_HA,SUPRAFATA_UAT_HA,NR_APARTAMENTE
1,1151,ALBA,Abrud,extravilan,117,183.6367,3953.15,0
2,1151,ALBA,Abrud,intravilan,3915,3151.2966,3953.15,471
3,1213,ALBA,Aiud,extravilan,3942,2132.6779,13810.05,0
4,1213,ALBA,Aiud,intravilan,16572,4991.8923,13810.05,4759
5,1017,ALBA,Alba Iulia,extravilan,4263,3140.8758,10248.43,0
6,1017,ALBA,Alba Iulia,intravilan,22950,3019.9398,10248.43,13849
7,2130,ALBA,Albac,extravilan,144,116.6859,5338.15,0
8,2130,ALBA,Albac,intravilan,2746,3976.2873,5338.15,19
9,2309,ALBA,Almasu Mare,extravilan,116,162.6922,9595.98,0
10,2309,ALBA,Almasu Mare,intravilan,835,648.8173,9595.98,1
11,2381,ALBA,Arieseni,extravilan,355,643.0889,9953.22,0
12,2381,ALBA,Arieseni,intravilan,398,188.7315,9953.22,6
13,2577,ALBA,Avram Iancu,extravilan,112,478.6415,9644.82,0
14,2577,ALBA,Avram Iancu,intravilan,991,1683.2934,9644.82,2
15,2915,ALBA,Baia de Aries,extravilan,29,17.214,8214.51,0
16,2915,ALBA,Baia de Aries,intravilan,964,473.4927,8214.51,148
17,2988,ALBA,Berghin,extravilan,242,692.8932,7551.41,0
18,2988,ALBA,Berghin,intravilan,652,173.0902,7551.41,8
19,3039,ALBA,Bistra,extravilan,77,617.9122,12711.16,0
20,3039,ALBA,Bistra,intravilan,2145,1933.7735,12711.16,12
21,1348,ALBA,Blaj,extravilan,686,1665.674,9887.83,0
22,1348,ALBA,Blaj,intravilan,5328,768.0637,9887.83,2526
23,3397,ALBA,Blandiana,extravilan,31,16.7539,7448.23,0
24,3397,ALBA,Blandiana,intravilan,252,87.6374,7448.23,2
25,4204,ALBA,Bucerdea Granoasa,extravilan,294,648.4192,4179.9,0
26,4204,ALBA,Bucerdea Granoasa,intravilan,339,276.0227,4179.9,2
27,3459,ALBA,Bucium,extravilan,78,80.5597,8466.67,0
28,3459,ALBA,Bucium,intravilan,1151,830.8133,8466.67,3
29,3761,ALBA,Cenade,extravilan,944,2311.4788,4456.94,0
30,3761,ALBA,Cenade,intravilan,202,126.4617,4456.94,8
31,3805,ALBA,Cergau,extravilan,92,333.1274,4783.53,0
32,3805,ALBA,Cergau,intravilan,318,60.7937,4783.53,4
33,3841,ALBA,Ceru-Bacainti,extravilan,9,5.7312,4721.88,0
34,3841,ALBA,Ceru-Bacainti,intravilan,23,10.491,4721.88,0
35,3958,ALBA,Cetatea de Balta,extravilan,942,1006.3643,6454.57,0
36,3958,ALBA,Cetatea de Balta,intravilan,359,86.7514,6454.57,7
37,1071,ALBA,Ciugud,extravilan,1109,524.1854,4389.97,0
38,1071,ALBA,Ciugud,intravilan,4008,1125.91,4389.97,7
