COD JUD,JUDET,SIRUTA,LOCALITATE,Populatia_numar_persoane
1,Alba,1017,1017 MUNICIPIUL ALBA IULIA,74425
1,Alba,1213,1213 MUNICIPIUL AIUD,26091
1,Alba,1348,1348 MUNICIPIUL BLAJ,20929
1,Alba,1874,1874 MUNICIPIUL SEBES,32481
1,Alba,1151,1151 ORAS ABRUD,5472
1,Alba,2915,2915 ORAS BAIA DE ARIES,4026
1,Alba,1455,1455 ORAS CIMPENI,7564
1,Alba,1696,1696 ORAS CUGIR,26445
1,Alba,1794,1794 ORAS OCNA MURES,14462
1,Alba,8096,8096 ORAS TEIUS,7412
1,Alba,1936,1936 ORAS ZLATNA,7937
1,Alba,2130,2130 ALBAC,2098
1,Alba,2309,2309 ALMASU MARE,1276
1,Alba,2381,2381 ARIESENI,1711
1,Alba,2577,2577 AVRAM IANCU,1545
1,Alba,2988,2988 BERGHIN,2027
1,Alba,3039,3039 BISTRA,4806
1,Alba,3397,3397 BLANDIANA,924
1,Alba,9026,9026 BUCERDEA GRANOASA,2375
1,Alba,3459,3459 BUCIUM,1513
1,Alba,4106,4106 CALNIC,1898
1,Alba,3761,3761 CENADE,974
1,Alba,3805,3805 CERGAU,1620
1,Alba,3841,3841 CERU-BACAINTI,253
1,Alba,3958,3958 CETATEA DE BALTA,3167
1,Alba,1071,1071 CIUGUD,3010
1,Alba,4008,4008 CIURULEASA,1180
1,Alba,4188,4188 CRACIUNELU DE JOS,2148
1,Alba,4142,4142 CRICAU,2099
1,Alba,9019,9019 CUT,1266
1,Alba,4240,4240 DAIA ROMANA,3145
1,Alba,4268,4268 DOSTAT,999
1,Alba,4302,4302 FARAU,1590
1,Alba,4366,4366 GALDA DE JOS,4398
1,Alba,4482,4482 GIRBOVA,2112
1,Alba,4525,4525 GIRDA DE SUS,1670
1,Alba,4703,4703 HOPIRTA,1186
1,Alba,4767,4767 HOREA,2080
1,Alba,4927,4927 IGHIU,6913
1,Alba,4981,4981 INTREGALDE,615
1,Alba,5103,5103 JIDVEI,5332
1,Alba,5167,5167 LIVEZILE,1253
1,Alba,5210,5210 LOPADEA NOUA,2689
1,Alba,5309,5309 LUNCA MURESULUI,2561
1,Alba,5336,5336 LUPSA,3151
1,Alba,5577,5577 METES,2823
1,Alba,5700,5700 MIHALT,3287
1,Alba,5755,5755 MIRASLAU,2104
1,Alba,5826,5826 MOGOS,818
1,Alba,6048,6048 NOSLAC,1829
1,Alba,6119,6119 OCOLIS,582
1,Alba,6164,6164 OHABA,659
1,Alba,6217,6217 PIANU,3610
1,Alba,6271,6271 POIANA VADULUI,1090
1,Alba,6397,6397 PONOR,596
1,Alba,6468,6468 POSAGA,1045
1,Alba,6547,6547 RADESTI,1322
1,Alba,6627,6627 RIMET,545
1,Alba,6592,6592 RIMETEA,1040
1,Alba,6930,6930 ROSIA DE SECAS,1605
1,Alba,6761,6761 ROSIA MONTANA,2824
1,Alba,6976,6976 SALCIUA,1517
1,Alba,7044,7044 SALISTEA,2350
1,Alba,7099,7099 SASCIORI,6446
1,Alba,7197,7197 SCARISOARA,1674
1,Alba,7810,7810 SIBOT,2451
1,Alba,7348,7348 SINCEL,2665
1,Alba,7384,7384 SINTIMBRU,2993
1,Alba,7446,7446 SOHODOL,1772
1,Alba,7865,7865 SONA,4392
1,Alba,7945,7945 SPRING,2583
1,Alba,7767,7767 STREMT,2455
1,Alba,8014,8014 SUGAG,2917
1,Alba,8158,8158 UNIREA,5047
1,Alba,8229,8229 VADU MOTILOR,1373
1,Alba,8354,8354 VALEA LUNGA,3127
1,Alba,8425,8425 VIDRA,1637
1,Alba,8826,8826 VINTU DE JOS,5480
2,Arad,0,TOTAL,473319
2,Arad,9262,9262 MUNICIPIUL ARAD,178337
2,Arad,9459,9459 ORAS CHISINEU-CRIS,8406
2,Arad,9495,9495 ORAS CURTICI,8724
2,Arad,9538,9538 ORAS INEU,9593
2,Arad,9574,9574 ORAS LIPOVA,11313
2,Arad,9627,9627 ORAS NADLAC,7969
2,Arad,11584,11584 ORAS PECICA,14138
2,Arad,9654,9654 ORAS PINCOTA,8051
2,Arad,12091,12091 ORAS SANTANA,15716
2,Arad,9690,9690 ORAS SEBIS,6415
2,Arad,9743,9743 ALMAS,2609
2,Arad,9798,9798 APATEU,3412
2,Arad,9832,9832 ARCHIS,1533
2,Arad,9887,9887 BATA,1066
2,Arad,9930,9930 BELIU,3007
2,Arad,10006,10006 BIRCHIS,1865
2,Arad,10051,10051 BIRSA,1840
2,Arad,10104,10104 BIRZAVA,2522
2,Arad,10195,10195 BOCSIG,3407
2,Arad,10239,10239 BRAZII,1217
2,Arad,10293,10293 BUTENI,3402
2,Arad,10346,10346 CARAND,1145
2,Arad,10373,10373 CERMEI,2710
2,Arad,10417,10417 CHISINDIA,1306
2,Arad,10453,10453 CONOP,2271
2,Arad,10514,10514 COVASINT,2719
2,Arad,10532,10532 CRAIVA,2883
2,Arad,10649,10649 DEZNA,1177
2,Arad,10701,10701 DIECI,1485
2,Arad,12912,12912 DOROBANTI,1606
2,Arad,9280,9280 FANTINELE,3705
2,Arad,10827,10827 FELNAC,3149
2,Arad,12920,12920 FRUMUSENI,2778
2,Arad,10872,10872 GHIOROC,4087
2,Arad,10916,10916 GRANICERI,2514
2,Arad,10943,10943 GURAHONT,3888
2,Arad,11174,11174 HALMAGEL,1168
2,Arad,11058,11058 HALMAGIU,2697
